,Unnamed: 0,Id,Dirección,Precio,Precio original,Precio actual,Cambio precio,Número cambios precio,Habitaciones,M2,Descripción,Fecha alta,Fecha baja,Días en venta,Ocupada,Localidad,Fecha,Mes,Tags
0,0,/inmueble/108625217/,"Casa o chalet independiente en Calle Dolores López Hernández, Pilas",95000,,,,,3,126,"
reserva ahora esta vivienda de 126 m². clikalia gestiona la venta de este casa, situado en pilas. se distribuye en salón y comedor, cocina independiente, 3 dormitorios y 2 baños.
cuenta con: trastero
situada en la calle dolores lopez, está cerca de supermercados, farmacias, restaurantes y paradas de autobús.
agenda
",,,1,,Pilas,2025-09-01,Septiembre,No
1,1,/inmueble/108636877/,Chalet adosado en Pilas,149000,,,,,3,112,"
credit home real estate ofrece magnífica casa reformada en pilas.
el inmueble cuenta con 130 metros cuadrados construidos, de los cuales 112 m2 son de vivienda y está distribuida en dos plantas de la siguiente manera:
en planta baja tiene puerta de entrada con acceso para un vehículo, hall de entrada con entrada al s
",,,1,,Pilas,2025-09-01,Septiembre,No
2,2,/inmueble/108493712/,"Chalet adosado en Avenida Juan Carlos I, Pilas",90000,,,,,3,140,"
credit home real estate le ofrece adosado en pilas.
la vivienda tiene una superficie construida según catastro de 140 m2.
la casa se encuentra distribuida en dos plantas que se distribuyen de la siguiente manera:
planta baja: hall de entrada, salón-comedor, un dormitorio, cocina independiente, cuarto de baño y un ga
",,,1,,Pilas,2025-09-01,Septiembre,No
3,3,/inmueble/107940259/,Casa o chalet independiente en Pilas,315000,,,,,5,241,"
gran oportunidad de vivir en un gran chalet rodeado de vegetación, naturaleza, vistas despejadas y tranquilidad!
estupendo chalet de una planta en parcela rustica de 2.500m2
el chalet se distribuye en una sola planta, muy cómodo y se encuentra muy bien distribuido.
un amplio porche de entrada nos abre paso. en su in
",,,1,,Pilas,2025-09-01,Septiembre,No
4,4,/inmueble/104568551/,Cortijo en Pilas,250000,,,,,4,500,"
magnífica finca situada en la carretera pilas -villamanrique, a pie de carretera. justo a la salida del pueblo, junto polígono los ventolines
cuenta con 2,5 hectáreas aproximadamente, 2 hectáreas de olivos con aproximadamente 320 olivos, y aproximadamente 3.000 m2 de viñas con más de 2.000 cepas. pozo legalizado.
la
",,,1,,Pilas,2025-09-01,Septiembre,cortijo
5,5,/inmueble/105841745/,Casa o chalet independiente en Pilas,260000,,,,,4,285,"
precioso chalet independiente de esquina en una de las mejores zonas de pilas, muy cerca de la piscina cubierta.
el inmueble dispone de 285m2 construidos totales distribuidos en dos plantas más espectacular sótano y azotea.
un bonito patio delantero nos abre paso.
al entrar, un amplio hall nos distribuye la planta b
",,,1,,Pilas,2025-09-01,Septiembre,luminoso
6,6,/inmueble/107474776/,Chalet adosado en Pilas,135000,,,,,3,84,"
gran viveinda adosada en pilas, junto plaza de las carreritas.
vivienda exterior y muy luminosa, con excelentes calidades, lista para habitar!
la casa dispone de 84.96m2 construidos distribuido en dos plantas.
un gran patio delantero nos abre paso, en él podrá disfrutar de estupendas comidas al aire libre e incluso
",,,1,,Pilas,2025-09-01,Septiembre,No
7,7,/inmueble/106124758/,Casa o chalet independiente en Pilas,174900,,,,,3,165,"
amplia casa de pueblo en pilas, muy cerca de la plaza de la constitución, con fachada hacia dos calles.
la vivienda dispone de 165 m² construidos distribuidos en dos plantas y se sitúa sobre una parcela de 301 m².
esta propiedad es perfecta para aquellos que buscan amplitud y comodidad.
la planta baja se distribuye
",,,1,,Pilas,2025-09-01,Septiembre,No
8,8,/inmueble/108695826/,"Chalet adosado en Calle Blanca Medina, Pilas",63000,,,,,3,83,"
credit home real estate le ofrece adosado a reformar en pilas.
la vivienda tiene una superficie construida según catastro de 83 m2. cuenta con una sola planta y está distribuida de la siguiente manera:
al acceder a la casa tenemos el hall de entrada, dos habitaciones a cada lado del pasillo, salón comedor, cocina ind
",,,1,,Pilas,2025-09-01,Septiembre,No
9,9,/inmueble/108866980/,"Chalet adosado en Calle Triana, Pilas",120000,,,,,3,86,"
credit home real estate le ofrece céntrica vivienda, en pilas.
la vivienda dispone de 2 plantas y está distribuida de la siguiente manera:
en planta baja tiene aparcamiento en el patio delantero al acceder en la vivienda. tiene un amplio y luminoso salón comedor, aseo, cocina independiente con salida al patio trasero
",,,1,,Pilas,2025-09-01,Septiembre,No
